output,time_step,indicator,cor_value,p_value
AN,1,AN,0.7101427742737322,***
AN,1,BOD,0.022886425687705363,
AN,1,COD,0.028915713511188768,
AN,1,DO,0.020106560015783592,
AN,1,pH,0.2137680333427729,***
AN,1,TP,0.24675198595577735,***
AN,1,WT,0.1271371627526773,***
AN,2,AN,0.6373444884946491,***
AN,2,BOD,0.0033599043395571683,
AN,2,COD,0.004269453212891332,
AN,2,DO,0.06851842760608197,***
AN,2,pH,0.20539511020475892,***
AN,2,TP,0.22286144544144876,***
AN,2,WT,0.06614911620786203,***
AN,3,AN,0.5583471350955733,***
AN,3,BOD,0.05542954860531609,***
AN,3,COD,0.011316259252387018,
AN,3,DO,0.13343784235624223,***
AN,3,pH,0.22657852488480362,***
AN,3,TP,0.2075504707725087,***
AN,3,WT,0.01819985390392973,
AN,4,AN,0.4890712887682768,***
AN,4,BOD,0.07608702574505088,***
AN,4,COD,0.007048907938884096,
AN,4,DO,0.20655266909995337,***
AN,4,pH,0.23212799496030093,***
AN,4,TP,0.20124143471539208,***
AN,4,WT,0.11506648153050832,***
AN,5,AN,0.4218026554672752,***
AN,5,BOD,0.08714243996239093,***
AN,5,COD,0.022704320536956073,
AN,5,DO,0.26648366904947396,***
AN,5,pH,0.24348632931640818,***
AN,5,TP,0.19188551645027263,***
AN,5,WT,0.1856326437492869,***
AN,6,AN,0.40310086095948167,***
AN,6,BOD,0.08533588776827028,***
AN,6,COD,0.020794069003401437,
AN,6,DO,0.2835160560055509,***
AN,6,pH,0.2542866487619567,***
AN,6,TP,0.1900978196769901,***
AN,6,WT,0.2121951252379021,***
AN,7,AN,0.40779223257180364,***
AN,7,BOD,0.07703996738854417,***
AN,7,COD,0.035355860144922986,*
AN,7,DO,0.2819803947797896,***
AN,7,pH,0.25546581618727826,***
AN,7,TP,0.19110015563629207,***
AN,7,WT,0.19480282786064945,***
AN,8,AN,0.447257108774238,***
AN,8,BOD,0.03770378542104971,*
AN,8,COD,0.025264492695031115,
AN,8,DO,0.24600907922269385,***
AN,8,pH,0.2521369876366593,***
AN,8,TP,0.20407259645493403,***
AN,8,WT,0.13687868966678346,***
AN,9,AN,0.5110303799179379,***
AN,9,BOD,0.013580672158118014,
AN,9,COD,0.0318210137066523,
AN,9,DO,0.17630199359067017,***
AN,9,pH,0.24318452031567386,***
AN,9,TP,0.21889542645561416,***
AN,9,WT,0.04722882900812681,**
AN,10,AN,0.5791930687281508,***
AN,10,BOD,0.006596570450260297,
AN,10,COD,0.03449237674128548,*
AN,10,DO,0.10242141228313019,***
AN,10,pH,0.23026661642544138,***
AN,10,TP,0.22610271010992095,***
AN,10,WT,0.04198394504623324,*
AN,11,AN,0.63890174908497,***
AN,11,BOD,0.039785368767112944,*
AN,11,COD,0.027888301921780653,
AN,11,DO,0.03416336926110468,*
AN,11,pH,0.21204633658725539,***
AN,11,TP,0.23456876098158488,***
AN,11,WT,0.11386499314580568,***
AN,12,AN,0.663059110229738,***
AN,12,BOD,0.04679320558212579,**
AN,12,COD,0.02471005841584914,
AN,12,DO,0.0028204484454519476,
AN,12,pH,0.2018584344969408,***
AN,12,TP,0.22904205311847065,***
AN,12,WT,0.15345302534058608,***
BOD,1,AN,0.053053668942449096,***
BOD,1,BOD,0.43542952757382025,***
BOD,1,COD,0.08938245319605943,***
BOD,1,DO,0.26081794571697836,***
BOD,1,pH,0.0989119127191127,***
BOD,1,TP,0.0070588099631517,
BOD,1,WT,0.25134561524126037,***
BOD,2,AN,0.03574463816805012,*
BOD,2,BOD,0.33671982477907225,***
BOD,2,COD,0.06569123746470254,***
BOD,2,DO,0.2163681161418033,***
BOD,2,pH,0.08591764634600198,***
BOD,2,TP,0.00442373269077793,
BOD,2,WT,0.21300172794334787,***
BOD,3,AN,0.012255334436422575,
BOD,3,BOD,0.23899823719757585,***
BOD,3,COD,0.07335252917241555,***
BOD,3,DO,0.12453868407323479,***
BOD,3,pH,0.05424164874981575,***
BOD,3,TP,0.010297682832184771,
BOD,3,WT,0.12721447362946833,***
BOD,4,AN,0.020442458963674352,
BOD,4,BOD,0.18159687000520608,***
BOD,4,COD,0.07573023737330659,***
BOD,4,DO,0.025510981883422757,
BOD,4,pH,0.03922739288516522,*
BOD,4,TP,0.008788948718217594,
BOD,4,WT,0.009564893916698743,
BOD,5,AN,0.05737988440432862,***
BOD,5,BOD,0.12704294388387125,***
BOD,5,COD,0.07177863196506112,***
BOD,5,DO,0.057863640257161966,***
BOD,5,pH,0.04406536890774185,**
BOD,5,TP,0.00367965124249065,
BOD,5,WT,0.09833093985651467,***
BOD,6,AN,0.07604852608897088,***
BOD,6,BOD,0.10244138220724855,***
BOD,6,COD,0.08388073850770789,***
BOD,6,DO,0.11809902777087963,***
BOD,6,pH,0.044497226040760555,**
BOD,6,TP,0.018640237419251172,
BOD,6,WT,0.1684648605235758,***
BOD,7,AN,0.08962557003117402,***
BOD,7,BOD,0.10927692361081759,***
BOD,7,COD,0.0567738888207145,***
BOD,7,DO,0.13158763552073977,***
BOD,7,pH,0.04089448356784832,*
BOD,7,TP,0.02041456130135997,
BOD,7,WT,0.20494289857848125,***
BOD,8,AN,0.07608333974492726,***
BOD,8,BOD,0.155767215753896,***
BOD,8,COD,0.05830605218959982,***
BOD,8,DO,0.10013993193634531,***
BOD,8,pH,0.04420327220483689,**
BOD,8,TP,0.030490668054702495,
BOD,8,WT,0.1717120484148542,***
BOD,9,AN,0.07303914626039425,***
BOD,9,BOD,0.18068027660752184,***
BOD,9,COD,0.04461750050402554,**
BOD,9,DO,0.029810532815607672,
BOD,9,pH,0.07416016764340068,***
BOD,9,TP,0.016694287394066303,
BOD,9,WT,0.08897662358139599,***
BOD,10,AN,0.04704164022962356,**
BOD,10,BOD,0.23436901160342796,***
BOD,10,COD,0.06446082379270165,***
BOD,10,DO,0.07050102028518732,***
BOD,10,pH,0.06964187592360835,***
BOD,10,TP,0.010161853905195733,
BOD,10,WT,0.023395973110853577,
BOD,11,AN,0.0058156494293450335,
BOD,11,BOD,0.25846474508273476,***
BOD,11,COD,0.0772054766947591,***
BOD,11,DO,0.16265211821188721,***
BOD,11,pH,0.09762581765689562,***
BOD,11,TP,0.014794396346177898,
BOD,11,WT,0.12778681807915576,***
BOD,12,AN,0.04339847624396313,**
BOD,12,BOD,0.3163455707585081,***
BOD,12,COD,0.09142503682495108,***
BOD,12,DO,0.24111624589852626,***
BOD,12,pH,0.11075428275919702,***
BOD,12,TP,0.02696900390291061,
BOD,12,WT,0.21600328416073972,***
COD,1,AN,0.06467064829472736,***
COD,1,BOD,0.09346822511084353,***
COD,1,COD,0.6534459764280007,***
COD,1,DO,0.09304328590341177,***
COD,1,pH,0.04076398496597536,*
COD,1,TP,0.2779329302184177,***
COD,1,WT,0.13180314547737243,***
COD,2,AN,0.07040125473067008,***
COD,2,BOD,0.08815122773635015,***
COD,2,COD,0.583932946533648,***
COD,2,DO,0.07910063277087104,***
COD,2,pH,0.031017206427387044,
COD,2,TP,0.27114036890623316,***
COD,2,WT,0.10319548492262504,***
COD,3,AN,0.05815637487934147,***
COD,3,BOD,0.07606163386623593,***
COD,3,COD,0.49865882110127746,***
COD,3,DO,0.0527355077828487,**
COD,3,pH,0.01913108643958157,
COD,3,TP,0.2612566133254587,***
COD,3,WT,0.060779842547865726,***
COD,4,AN,0.056447648224235446,***
COD,4,BOD,0.0811837339965941,***
COD,4,COD,0.46016103656671536,***
COD,4,DO,0.02411523884068037,
COD,4,pH,0.015791348652283106,
COD,4,TP,0.24896758791443252,***
COD,4,WT,0.012296407101658016,
COD,5,AN,0.03914726661152061,*
COD,5,BOD,0.07144543380033733,***
COD,5,COD,0.43180700643643366,***
COD,5,DO,0.013662205455902365,
COD,5,pH,0.014954488964231176,
COD,5,TP,0.23486391152922834,***
COD,5,WT,0.031154146993665262,
COD,6,AN,0.03534976588428804,*
COD,6,BOD,0.07960904216075873,***
COD,6,COD,0.4279668052125001,***
COD,6,DO,0.03808700078752835,*
COD,6,pH,0.028642308529002597,
COD,6,TP,0.23000748469636279,***
COD,6,WT,0.05904786555232344,***
COD,7,AN,0.019647468748798302,
COD,7,BOD,0.08031727996104873,***
COD,7,COD,0.4144031130710917,***
COD,7,DO,0.03905241371091981,*
COD,7,pH,0.01122389708648641,
COD,7,TP,0.22018411520875475,***
COD,7,WT,0.05524892045534843,***
COD,8,AN,0.006572196541105087,
COD,8,BOD,0.05068897916443279,**
COD,8,COD,0.4358350874420308,***
COD,8,DO,0.01227803624962746,
COD,8,pH,0.017577135485296054,
COD,8,TP,0.21637362224858953,***
COD,8,WT,0.027856731685228963,
COD,9,AN,0.01864720142816101,
COD,9,BOD,0.04398253320542523,**
COD,9,COD,0.45204860477171416,***
COD,9,DO,0.012466103571901775,
COD,9,pH,0.027671366698280644,
COD,9,TP,0.22367234362649718,***
COD,9,WT,0.01023394839779223,
COD,10,AN,0.016961394632653615,
COD,10,BOD,0.03872998728540518,*
COD,10,COD,0.47669853268153306,***
COD,10,DO,0.0438938657123962,**
COD,10,pH,0.030003583074091414,
COD,10,TP,0.22219761738241994,***
COD,10,WT,0.06630149566017152,***
COD,11,AN,0.01920686297252223,
COD,11,BOD,0.056655566820978165,***
COD,11,COD,0.5243685796481848,***
COD,11,DO,0.07466281723513082,***
COD,11,pH,0.034221034982040405,*
COD,11,TP,0.23898116243741496,***
COD,11,WT,0.11294500035315293,***
COD,12,AN,0.028137853427223275,
COD,12,BOD,0.07077607859412294,***
COD,12,COD,0.5644957288691158,***
COD,12,DO,0.09384266425659528,***
COD,12,pH,0.03741635529569934,*
COD,12,TP,0.26104692685501873,***
COD,12,WT,0.1372676231715881,***
DO,1,AN,0.042760563189990185,**
DO,1,BOD,0.15897304688513703,***
DO,1,COD,0.06017851621228975,***
DO,1,DO,0.7507533543077838,***
DO,1,pH,0.19660961930118975,***
DO,1,TP,0.07610984778876889,***
DO,1,WT,0.6912915753428502,***
DO,2,AN,0.10346160219207648,***
DO,2,BOD,0.055524639608661906,***
DO,2,COD,0.025178094252453508,
DO,2,DO,0.47860194637490583,***
DO,2,pH,0.14505449048941138,***
DO,2,TP,0.08281001676481363,***
DO,2,WT,0.42791057132824006,***
DO,3,AN,0.16108292281244013,***
DO,3,BOD,0.052572320134707515,**
DO,3,COD,0.01725605030707405,
DO,3,DO,0.14820218359709467,***
DO,3,pH,0.09563729936984053,***
DO,3,TP,0.09213920028781877,***
DO,3,WT,0.07188300789356135,***
DO,4,AN,0.22678552889823483,***
DO,4,BOD,0.10546550555354607,***
DO,4,COD,0.04513878085063804,**
DO,4,DO,0.16563385224607194,***
DO,4,pH,0.06107933083303971,***
DO,4,TP,0.10015369375648278,***
DO,4,WT,0.29394541753097136,***
DO,5,AN,0.27680213868043335,***
DO,5,BOD,0.13229095557965875,***
DO,5,COD,0.06103685813269291,***
DO,5,DO,0.38822686844350474,***
DO,5,pH,0.03662435849415932,*
DO,5,TP,0.10884430663106334,***
DO,5,WT,0.5692689101878816,***
DO,6,AN,0.2847305252690914,***
DO,6,BOD,0.11808802494199686,***
DO,6,COD,0.050321673913971195,**
DO,6,DO,0.46985054935990844,***
DO,6,pH,0.03351305464408198,*
DO,6,TP,0.12077918041553923,***
DO,6,WT,0.6917114639538833,***
DO,7,AN,0.2536400267381386,***
DO,7,BOD,0.05315931372197704,**
DO,7,COD,0.013330591875803708,
DO,7,DO,0.39016221239166937,***
DO,7,pH,0.06991179382190432,***
DO,7,TP,0.12770966176799012,***
DO,7,WT,0.6228660112099046,***
DO,8,AN,0.20988555351504998,***
DO,8,BOD,0.037444352446959844,*
DO,8,COD,0.025286298540655235,
DO,8,DO,0.18018805824518191,***
DO,8,pH,0.11339175166089181,***
DO,8,TP,0.12078024304264187,***
DO,8,WT,0.3783676403817503,***
DO,9,AN,0.14069262379241942,***
DO,9,BOD,0.12557882762326875,***
DO,9,COD,0.06557175252908057,***
DO,9,DO,0.12495352857230788,***
DO,9,pH,0.15881696439214046,***
DO,9,TP,0.10164200205015231,***
DO,9,WT,0.02739127477210402,
DO,10,AN,0.0741799830871531,***
DO,10,BOD,0.2122381539395165,***
DO,10,COD,0.09555993356320043,***
DO,10,DO,0.4538126757640586,***
DO,10,pH,0.20138522419057742,***
DO,10,TP,0.08846498925094248,***
DO,10,WT,0.3477046886962823,***
DO,11,AN,0.022106424926396667,
DO,11,BOD,0.24291497730186382,***
DO,11,COD,0.10324701685658796,***
DO,11,DO,0.7005515045089645,***
DO,11,pH,0.21891679304455103,***
DO,11,TP,0.07463179506728376,***
DO,11,WT,0.6340343643529966,***
DO,12,AN,0.006833214692040852,
DO,12,BOD,0.22621694145943883,***
DO,12,COD,0.0914014084342559,***
DO,12,DO,0.8127511414801836,***
DO,12,pH,0.2121861031902631,***
DO,12,TP,0.06937506122265547,***
DO,12,WT,0.7666586774307926,***
pH,1,AN,0.22792026226527703,***
pH,1,BOD,0.08791381278638385,***
pH,1,COD,0.0328098176712235,*
pH,1,DO,0.22555188322262465,***
pH,1,pH,0.7438264831145758,***
pH,1,TP,0.1917693619145589,***
pH,1,WT,0.16878100297785326,***
pH,2,AN,0.2391259689812606,***
pH,2,BOD,0.07001919636745774,***
pH,2,COD,0.016721115343608386,
pH,2,DO,0.20668335535999846,***
pH,2,pH,0.6979189080437509,***
pH,2,TP,0.19065845314711127,***
pH,2,WT,0.14632682724815577,***
pH,3,AN,0.24371291820574031,***
pH,3,BOD,0.055693561896401206,***
pH,3,COD,0.008614546866430015,
pH,3,DO,0.15180068742694303,***
pH,3,pH,0.6668187350785698,***
pH,3,TP,0.18659168084972835,***
pH,3,WT,0.1071797703835492,***
pH,4,AN,0.2545056188101403,***
pH,4,BOD,0.0436516096797671,**
pH,4,COD,0.004074781957297083,
pH,4,DO,0.10900516917097224,***
pH,4,pH,0.6393267821714068,***
pH,4,TP,0.18554450160994385,***
pH,4,WT,0.05989788606638849,***
pH,5,AN,0.25705551868107623,***
pH,5,BOD,0.03759366586598048,*
pH,5,COD,0.0054006779031681735,
pH,5,DO,0.0721376072744159,***
pH,5,pH,0.630167204147932,***
pH,5,TP,0.18018345066747948,***
pH,5,WT,0.014004143852703113,
pH,6,AN,0.23457241313194893,***
pH,6,BOD,0.039009533433942936,*
pH,6,COD,0.009837214769322509,
pH,6,DO,0.04817192591359852,**
pH,6,pH,0.6236186093021838,***
pH,6,TP,0.18185298795226662,***
pH,6,WT,0.020815401594247065,
pH,7,AN,0.2356921604479087,***
pH,7,BOD,0.03923528345937741,*
pH,7,COD,0.002002014303767388,
pH,7,DO,0.03926109724252356,*
pH,7,pH,0.6135614565400924,***
pH,7,TP,0.18987184587933503,***
pH,7,WT,0.026810185790227953,
pH,8,AN,0.22555984534240336,***
pH,8,BOD,0.05234127286946705,**
pH,8,COD,0.0016075583614510408,
pH,8,DO,0.05880411457171639,***
pH,8,pH,0.6101635112027686,***
pH,8,TP,0.1772215509894512,***
pH,8,WT,0.005700388664342369,
pH,9,AN,0.2266782333309743,***
pH,9,BOD,0.06996627719018972,***
pH,9,COD,0.0076610593782433355,
pH,9,DO,0.100036188833099,***
pH,9,pH,0.6261306656748132,***
pH,9,TP,0.17702016267215864,***
pH,9,WT,0.038568167352105234,*
pH,10,AN,0.22017360156208868,***
pH,10,BOD,0.0670674093200325,***
pH,10,COD,0.009032180227348124,
pH,10,DO,0.15162155847332925,***
pH,10,pH,0.611270359060764,***
pH,10,TP,0.17572631225874566,***
pH,10,WT,0.09056087547906333,***
pH,11,AN,0.22203879587985267,***
pH,11,BOD,0.08052142269185573,***
pH,11,COD,0.01860863672074083,
pH,11,DO,0.19572268633859075,***
pH,11,pH,0.6247070090427236,***
pH,11,TP,0.17961724803457052,***
pH,11,WT,0.13496962032821175,***
pH,12,AN,0.2215746426135693,***
pH,12,BOD,0.08193912597116726,***
pH,12,COD,0.01904304360773996,
pH,12,DO,0.22579773958549096,***
pH,12,pH,0.6226024125342704,***
pH,12,TP,0.18029090545286927,***
pH,12,WT,0.169831519690549,***
TP,1,AN,0.23920965873420566,***
TP,1,BOD,0.004042938449243959,
TP,1,COD,0.2627449949122524,***
TP,1,DO,0.07759879718741605,***
TP,1,pH,0.18703516802924317,***
TP,1,TP,0.8154204202444575,***
TP,1,WT,0.030301014645938415,
TP,2,AN,0.2305483332064846,***
TP,2,BOD,0.01866250083822009,
TP,2,COD,0.2366318908802239,***
TP,2,DO,0.09163334773056922,***
TP,2,pH,0.18401149411247963,***
TP,2,TP,0.778065782426542,***
TP,2,WT,0.03577333204273514,*
TP,3,AN,0.21565837926524123,***
TP,3,BOD,0.02998804611391595,
TP,3,COD,0.22693348294245438,***
TP,3,DO,0.10470534222485633,***
TP,3,pH,0.1830767933930414,***
TP,3,TP,0.7536073898223989,***
TP,3,WT,0.0452584774557893,**
TP,4,AN,0.20592444035801166,***
TP,4,BOD,0.0418473389563958,*
TP,4,COD,0.21973429108534237,***
TP,4,DO,0.11828848945511401,***
TP,4,pH,0.1852428519953303,***
TP,4,TP,0.7250418604477882,***
TP,4,WT,0.06063997039507236,***
TP,5,AN,0.18276340949258502,***
TP,5,BOD,0.0363749547231757,*
TP,5,COD,0.22503252985771066,***
TP,5,DO,0.1231079441255286,***
TP,5,pH,0.19470307610605364,***
TP,5,TP,0.711824105620741,***
TP,5,WT,0.07330360601467775,***
TP,6,AN,0.18041379442719274,***
TP,6,BOD,0.03457623742471916,*
TP,6,COD,0.2367274086596306,***
TP,6,DO,0.12006401572994284,***
TP,6,pH,0.19348403887912946,***
TP,6,TP,0.7079887209244315,***
TP,6,WT,0.07843523006354411,***
TP,7,AN,0.18278111413727238,***
TP,7,BOD,0.01121349005749819,
TP,7,COD,0.25497384320356586,***
TP,7,DO,0.1238995853554583,***
TP,7,pH,0.19588687873558122,***
TP,7,TP,0.7084661778018853,***
TP,7,WT,0.0866449062770511,***
TP,8,AN,0.1921923988487771,***
TP,8,BOD,0.007991129351618075,
TP,8,COD,0.27432255641826064,***
TP,8,DO,0.11613193948934135,***
TP,8,pH,0.19744356010560765,***
TP,8,TP,0.7193125009485445,***
TP,8,WT,0.08412198142474257,***
TP,9,AN,0.21649210595267773,***
TP,9,BOD,0.0023727713372645445,
TP,9,COD,0.2757806639353869,***
TP,9,DO,0.09996183550057974,***
TP,9,pH,0.19961846433987787,***
TP,9,TP,0.7385864250499738,***
TP,9,WT,0.06721900450775029,***
TP,10,AN,0.21745055046898693,***
TP,10,BOD,0.015973463334128458,
TP,10,COD,0.27473388577146063,***
TP,10,DO,0.0902107856951427,***
TP,10,pH,0.18899563123787866,***
TP,10,TP,0.747231174702689,***
TP,10,WT,0.05591091356263058,***
TP,11,AN,0.22707996866745928,***
TP,11,BOD,0.00791028856936786,
TP,11,COD,0.2791566430083153,***
TP,11,DO,0.07832131876803865,***
TP,11,pH,0.19115147357786944,***
TP,11,TP,0.7663065840209724,***
TP,11,WT,0.03838730689732878,*
TP,12,AN,0.24423425051241499,***
TP,12,BOD,0.004860911967632331,
TP,12,COD,0.28222375686718,***
TP,12,DO,0.06945007167640233,***
TP,12,pH,0.1888753931999712,***
TP,12,TP,0.7742591980914114,***
TP,12,WT,0.02233610098436653,
WT,1,AN,0.10987111719079276,***
WT,1,BOD,0.14340563694836017,***
WT,1,COD,0.10052936245039905,***
WT,1,DO,0.6415797212730208,***
WT,1,pH,0.1284992791067317,***
WT,1,TP,0.041050121085007094,*
WT,1,WT,0.8137640350054176,***
WT,2,AN,0.04734020074987218,**
WT,2,BOD,0.025162604536770005,
WT,2,COD,0.05300712978865722,**
WT,2,DO,0.3469726607569956,***
WT,2,pH,0.08095682117829395,***
WT,2,TP,0.05096259656151818,**
WT,2,WT,0.4747868893795616,***
WT,3,AN,0.032570225362204545,*
WT,3,BOD,0.08627617481362704,***
WT,3,COD,0.00938125558794561,
WT,3,DO,0.01721371348710564,
WT,3,pH,0.03308790219423158,*
WT,3,TP,0.061010308620549375,***
WT,3,WT,0.026372545965130445,
WT,4,AN,0.11454934250036136,***
WT,4,BOD,0.17112967614297547,***
WT,4,COD,0.04520231043035725,**
WT,4,DO,0.3748256001861807,***
WT,4,pH,0.005090163185151809,
WT,4,TP,0.06540574386051361,***
WT,4,WT,0.4232239850587239,***
WT,5,AN,0.17822288210620674,***
WT,5,BOD,0.2112801837758459,***
WT,5,COD,0.06649322681051861,***
WT,5,DO,0.6164132529305362,***
WT,5,pH,0.020195347078420328,
WT,5,TP,0.07570496137528199,***
WT,5,WT,0.7508358030225257,***
WT,6,AN,0.20595073894033172,***
WT,6,BOD,0.18753521622115607,***
WT,6,COD,0.0636533810832459,***
WT,6,DO,0.6855463803919809,***
WT,6,pH,0.01424164532424365,
WT,6,TP,0.07776623891669754,***
WT,6,WT,0.8756342120709328,***
WT,7,AN,0.18131681413099476,***
WT,7,BOD,0.11149264761842426,***
WT,7,COD,0.022407304819515313,
WT,7,DO,0.5674044208166795,***
WT,7,pH,0.02132367505805252,
WT,7,TP,0.07504682236247553,***
WT,7,WT,0.7561483858059871,***
WT,8,AN,0.12107666382871615,***
WT,8,BOD,0.0029942282523513115,
WT,8,COD,0.027302167258628798,
WT,8,DO,0.2969091758178375,***
WT,8,pH,0.06875279540373719,***
WT,8,TP,0.07107295150972337,***
WT,8,WT,0.43058154283278216,***
WT,9,AN,0.036789072425399784,*
WT,9,BOD,0.12410218866514858,***
WT,9,COD,0.07557800218761536,***
WT,9,DO,0.07265440984005844,***
WT,9,pH,0.11993699096592278,***
WT,9,TP,0.0522449231381627,**
WT,9,WT,0.01874130407336981,
WT,10,AN,0.04396588154655269,**
WT,10,BOD,0.20832461106379296,***
WT,10,COD,0.1265640372842438,***
WT,10,DO,0.43214473248025354,***
WT,10,pH,0.1629325007041127,***
WT,10,TP,0.04346526302876624,**
WT,10,WT,0.47291282560379494,***
WT,11,AN,0.11013396962227101,***
WT,11,BOD,0.2419394026365959,***
WT,11,COD,0.13784720072058748,***
WT,11,DO,0.6846396063352767,***
WT,11,pH,0.17988315175982555,***
WT,11,TP,0.03167494941871241,
WT,11,WT,0.8048667547805721,***
WT,12,AN,0.1314994181183991,***
WT,12,BOD,0.21897111301499328,***
WT,12,COD,0.1285365799958979,***
WT,12,DO,0.7653088467674878,***
WT,12,pH,0.16701985621246634,***
WT,12,TP,0.029711862397146092,
WT,12,WT,0.9359169816457176,***
